time,Vbar,T,aleph,init_sens,n,λ,init_soc_h,t,seed
0,0.6322627527265349,1000,0.65,0.0,5,1.5,0.0,2,1
0,0.6326163222978525,1000,0.8,0.0,5,1.5,0.0,2,1
0,0.6334930455729304,1000,0.95,0.0,5,1.5,0.0,2,1
0,0.6322627527265349,1000,0.65,0.1,5,1.5,0.0,2,1
0,0.6326163222978525,1000,0.8,0.1,5,1.5,0.0,2,1
0,0.6334930455729304,1000,0.95,0.1,5,1.5,0.0,2,1
0,0.6470782827144272,1000,0.65,0.0,10,1.5,0.0,2,1
0,0.6474401373231978,1000,0.8,0.0,10,1.5,0.0,2,1
0,0.6483374044622265,1000,0.95,0.0,10,1.5,0.0,2,1
0,0.6470782827144272,1000,0.65,0.1,10,1.5,0.0,2,1
0,0.6474401373231978,1000,0.8,0.1,10,1.5,0.0,2,1
0,0.6483374044622265,1000,0.95,0.1,10,1.5,0.0,2,1
0,0.6394703078557799,1000,0.65,0.0,25,1.5,0.0,2,1
0,0.6398279079858582,1000,0.8,0.0,25,1.5,0.0,2,1
0,0.6407146255731286,1000,0.95,0.0,25,1.5,0.0,2,1
0,0.6394703078557799,1000,0.65,0.1,25,1.5,0.0,2,1
0,0.6398279079858582,1000,0.8,0.1,25,1.5,0.0,2,1
0,0.6407146255731286,1000,0.95,0.1,25,1.5,0.0,2,1
0,0.4305513140400295,1000,0.65,0.0,5,3.0,0.0,2,1
0,0.4307920839460199,1000,0.8,0.0,5,3.0,0.0,2,1
0,0.4313891052896095,1000,0.95,0.0,5,3.0,0.0,2,1
0,0.4305513140400295,1000,0.65,0.1,5,3.0,0.0,2,1
0,0.4307920839460199,1000,0.8,0.1,5,3.0,0.0,2,1
0,0.4313891052896095,1000,0.95,0.1,5,3.0,0.0,2,1
0,0.44156285659859823,1000,0.65,0.0,10,3.0,0.0,2,1
0,0.44180978430269596,1000,0.8,0.0,10,3.0,0.0,2,1
0,0.4424220747343566,1000,0.95,0.0,10,3.0,0.0,2,1
0,0.44156285659859823,1000,0.65,0.1,10,3.0,0.0,2,1
0,0.44180978430269596,1000,0.8,0.1,10,3.0,0.0,2,1
0,0.4424220747343566,1000,0.95,0.1,10,3.0,0.0,2,1
0,0.4376587642369241,1000,0.65,0.0,25,3.0,0.0,2,1
0,0.43790350872169276,1000,0.8,0.0,25,3.0,0.0,2,1
0,0.43851038556758254,1000,0.95,0.0,25,3.0,0.0,2,1
0,0.4376587642369241,1000,0.65,0.1,25,3.0,0.0,2,1
0,0.43790350872169276,1000,0.8,0.1,25,3.0,0.0,2,1
0,0.43851038556758254,1000,0.95,0.1,25,3.0,0.0,2,1
0,0.26928226802317584,1000,0.65,0.0,5,6.0,0.0,2,1
0,0.2694328541768876,1000,0.8,0.0,5,6.0,0.0,2,1
0,0.26980625278517784,1000,0.95,0.0,5,6.0,0.0,2,1
0,0.26928226802317584,1000,0.65,0.1,5,6.0,0.0,2,1
0,0.2694328541768876,1000,0.8,0.1,5,6.0,0.0,2,1
0,0.26980625278517784,1000,0.95,0.1,5,6.0,0.0,2,1
0,0.2715846814672403,1000,0.65,0.0,10,6.0,0.0,2,1
0,0.27173655516055634,1000,0.8,0.0,10,6.0,0.0,2,1
0,0.27211314639635215,1000,0.95,0.0,10,6.0,0.0,2,1
0,0.2715846814672403,1000,0.65,0.1,10,6.0,0.0,2,1
0,0.27173655516055634,1000,0.8,0.1,10,6.0,0.0,2,1
0,0.27211314639635215,1000,0.95,0.1,10,6.0,0.0,2,1
0,0.268981953226124,1000,0.65,0.0,25,6.0,0.0,2,1
0,0.26913237143988733,1000,0.8,0.0,25,6.0,0.0,2,1
0,0.26950535361850303,1000,0.95,0.0,25,6.0,0.0,2,1
0,0.268981953226124,1000,0.65,0.1,25,6.0,0.0,2,1
0,0.26913237143988733,1000,0.8,0.1,25,6.0,0.0,2,1
0,0.26950535361850303,1000,0.95,0.1,25,6.0,0.0,2,1
0,0.6344392887757512,1000,0.65,0.0,5,1.5,0.05,2,1
0,0.6347940754943927,1000,0.8,0.0,5,1.5,0.05,2,1
0,0.635673816849857,1000,0.95,0.0,5,1.5,0.05,2,1
0,0.634945540217836,1000,0.65,0.1,5,1.5,0.05,2,1
0,0.6354028253164711,1000,0.8,0.1,5,1.5,0.05,2,1
0,0.636381669234905,1000,0.95,0.1,5,1.5,0.05,2,1
0,0.6492406309402808,1000,0.65,0.0,10,1.5,0.05,2,1
0,0.6496036947623599,1000,0.8,0.0,10,1.5,0.05,2,1
0,0.6505039603083163,1000,0.95,0.0,10,1.5,0.05,2,1
0,0.6504548876998104,1000,0.65,0.1,10,1.5,0.05,2,1
0,0.6503112451423829,1000,0.8,0.1,10,1.5,0.05,2,1
0,0.6523391739453175,1000,0.95,0.1,10,1.5,0.05,2,1
0,0.6416629465000709,1000,0.65,0.0,25,1.5,0.05,2,1
0,0.6420217727822546,1000,0.8,0.0,25,1.5,0.05,2,1
0,0.6429115307784756,1000,0.95,0.0,25,1.5,0.05,2,1
0,0.653178531752442,1000,0.65,0.1,25,1.5,0.05,2,1
0,0.6536357067692266,1000,0.8,0.1,25,1.5,0.05,2,1
0,0.6555562652121771,1000,0.95,0.1,25,1.5,0.05,2,1
0,0.43649864584675346,1000,0.65,0.0,5,3.0,0.05,2,1
0,0.436742741578199,1000,0.8,0.0,5,3.0,0.05,2,1
0,0.43734800975302535,1000,0.95,0.0,5,3.0,0.05,2,1
0,0.5078155831471795,1000,0.65,0.1,5,3.0,0.05,2,1
0,0.5191431903681546,1000,0.8,0.1,5,3.0,0.05,2,1
0,0.534876762071513,1000,0.95,0.1,5,3.0,0.05,2,1
0,0.44753077213356235,1000,0.65,0.0,10,3.0,0.05,2,1
0,0.44778103717380424,1000,0.8,0.0,10,3.0,0.05,2,1
0,0.44840160297900267,1000,0.95,0.0,10,3.0,0.05,2,1
0,0.5866238885174206,1000,0.65,0.1,10,3.0,0.05,2,1
0,0.5955255093786813,1000,0.8,0.1,10,3.0,0.05,2,1
0,0.6203275238932192,1000,0.95,0.1,10,3.0,0.05,2,1
0,0.443679118052149,1000,0.65,0.0,25,3.0,0.05,2,1
0,0.4439272291972315,1000,0.8,0.0,25,3.0,0.05,2,1
0,0.4445424541298795,1000,0.95,0.0,25,3.0,0.05,2,1
0,0.6906374277624295,1000,0.65,0.1,25,3.0,0.05,2,1
0,0.7117598161357332,1000,0.8,0.1,25,3.0,0.05,2,1
0,0.7361553627724878,1000,0.95,0.1,25,3.0,0.05,2,1
0,0.31175746307853847,1000,0.65,0.0,5,6.0,0.05,2,1
0,0.31772399956873965,1000,0.8,0.0,5,6.0,0.05,2,1
0,0.33266225860019444,1000,0.95,0.0,5,6.0,0.05,2,1
0,0.6700126328905908,1000,0.65,0.1,5,6.0,0.05,2,1
0,0.6816905781943214,1000,0.8,0.1,5,6.0,0.05,2,1
0,0.7086343923738182,1000,0.95,0.1,5,6.0,0.05,2,1
0,0.30319560471091284,1000,0.65,0.0,10,6.0,0.05,2,1
0,0.30663204765184804,1000,0.8,0.0,10,6.0,0.05,2,1
0,0.3188238049090462,1000,0.95,0.0,10,6.0,0.05,2,1
0,0.7974959646657643,1000,0.65,0.1,10,6.0,0.05,2,1
0,0.8252697777038304,1000,0.8,0.1,10,6.0,0.05,2,1
0,0.8644279142825079,1000,0.95,0.1,10,6.0,0.05,2,1
0,0.29890070208298053,1000,0.65,0.0,25,6.0,0.05,2,1
0,0.3018517258957082,1000,0.8,0.0,25,6.0,0.05,2,1
0,0.3104738291997886,1000,0.95,0.0,25,6.0,0.05,2,1
0,0.9187772865128304,1000,0.65,0.1,25,6.0,0.05,2,1
0,0.95092091010361,1000,0.8,0.1,25,6.0,0.05,2,1
0,0.9901362213310658,1000,0.95,0.1,25,6.0,0.05,2,1
0,0.6357305264405883,1000,0.65,0.0,5,1.5,0.1,2,1
0,0.636692894012417,1000,0.8,0.0,5,1.5,0.1,2,1
0,0.6375752668813772,1000,0.95,0.0,5,1.5,0.1,2,1
0,0.6364369788364383,1000,0.65,0.1,5,1.5,0.1,2,1
0,0.6376080125112038,1000,0.8,0.1,5,1.5,0.1,2,1
0,0.6382785896035802,1000,0.95,0.1,5,1.5,0.1,2,1
0,0.6507704790236238,1000,0.65,0.0,10,1.5,0.1,2,1
0,0.6515384905114672,1000,0.8,0.0,10,1.5,0.1,2,1
0,0.6524414374306443,1000,0.95,0.0,10,1.5,0.1,2,1
0,0.6521765876310328,1000,0.65,0.1,10,1.5,0.1,2,1
0,0.6530617646176358,1000,0.8,0.1,10,1.5,0.1,2,1
0,0.6550867941237334,1000,0.95,0.1,10,1.5,0.1,2,1
0,0.6434409251277866,1000,0.65,0.0,25,1.5,0.1,2,1
0,0.6440020937898646,1000,0.8,0.0,25,1.5,0.1,2,1
0,0.6448945962513459,1000,0.95,0.0,25,1.5,0.1,2,1
0,0.6562853696170293,1000,0.65,0.1,25,1.5,0.1,2,1
0,0.6565325130358151,1000,0.8,0.1,25,1.5,0.1,2,1
0,0.6655029161875228,1000,0.95,0.1,25,1.5,0.1,2,1
0,0.44214161820763676,1000,0.65,0.0,5,3.0,0.1,2,1
0,0.4423888695627687,1000,0.8,0.0,5,3.0,0.1,2,1
0,0.44310266407463883,1000,0.95,0.0,5,3.0,0.1,2,1
0,0.5290010647086038,1000,0.65,0.1,5,3.0,0.1,2,1
0,0.5366250168874581,1000,0.8,0.1,5,3.0,0.1,2,1
0,0.5501860520453785,1000,0.95,0.1,5,3.0,0.1,2,1
0,0.4532198300949498,1000,0.65,0.0,10,3.0,0.1,2,1
0,0.4534732765305464,1000,0.8,0.0,10,3.0,0.1,2,1
0,0.45410173103313617,1000,0.95,0.0,10,3.0,0.1,2,1
0,0.605488450925496,1000,0.65,0.1,10,3.0,0.1,2,1
0,0.623577695228442,1000,0.8,0.1,10,3.0,0.1,2,1
0,0.6441767292245496,1000,0.95,0.1,10,3.0,0.1,2,1
0,0.44942688941244724,1000,0.65,0.0,25,3.0,0.1,2,1
0,0.4496782147861826,1000,0.8,0.0,25,3.0,0.1,2,1
0,0.4503014098307969,1000,0.95,0.0,25,3.0,0.1,2,1
0,0.71403578395858,1000,0.65,0.1,25,3.0,0.1,2,1
0,0.730427167301295,1000,0.8,0.1,25,3.0,0.1,2,1
0,0.7635826497070959,1000,0.95,0.1,25,3.0,0.1,2,1
0,0.3955014009588372,1000,0.65,0.0,5,6.0,0.1,2,1
0,0.41438101374337777,1000,0.8,0.0,5,6.0,0.1,2,1
0,0.46301058617899254,1000,0.95,0.0,5,6.0,0.1,2,1
0,0.7013866983162234,1000,0.65,0.1,5,6.0,0.1,2,1
0,0.7274258929511986,1000,0.8,0.1,5,6.0,0.1,2,1
0,0.7659747859652282,1000,0.95,0.1,5,6.0,0.1,2,1
0,0.3956182814605499,1000,0.65,0.0,10,6.0,0.1,2,1
0,0.41196183711474216,1000,0.8,0.0,10,6.0,0.1,2,1
0,0.46050396145346845,1000,0.95,0.0,10,6.0,0.1,2,1
0,0.8226140786431638,1000,0.65,0.1,10,6.0,0.1,2,1
0,0.8564337280185255,1000,0.8,0.1,10,6.0,0.1,2,1
0,0.8986739401010113,1000,0.95,0.1,10,6.0,0.1,2,1
0,0.39489743658966653,1000,0.65,0.0,25,6.0,0.1,2,1
0,0.40753670776038603,1000,0.8,0.0,25,6.0,0.1,2,1
0,0.45426278493702404,1000,0.95,0.0,25,6.0,0.1,2,1
0,0.9374573124079596,1000,0.65,0.1,25,6.0,0.1,2,1
0,0.969959835285103,1000,0.8,0.1,25,6.0,0.1,2,1
0,1.0160183741443305,1000,0.95,0.1,25,6.0,0.1,2,1
0,0.6314601957698283,1000,0.65,0.0,5,1.5,0.15,2,1
0,0.6370926796900971,1000,0.8,0.0,5,1.5,0.15,2,1
0,0.6391946198654685,1000,0.95,0.0,5,1.5,0.15,2,1
0,0.6325829873752528,1000,0.65,0.1,5,1.5,0.15,2,1
0,0.6373626010334932,1000,0.8,0.1,5,1.5,0.15,2,1
0,0.6400941404549975,1000,0.95,0.1,5,1.5,0.15,2,1
0,0.6497385376168661,1000,0.65,0.0,10,1.5,0.15,2,1
0,0.6525343887307931,1000,0.8,0.0,10,1.5,0.15,2,1
0,0.6541481383019142,1000,0.95,0.0,10,1.5,0.15,2,1
0,0.652571144389566,1000,0.65,0.1,10,1.5,0.15,2,1
0,0.6548322757867133,1000,0.8,0.1,10,1.5,0.15,2,1
0,0.6572108765493013,1000,0.95,0.1,10,1.5,0.15,2,1
0,0.6433874855925739,1000,0.65,0.0,25,1.5,0.15,2,1
0,0.6455658622125741,1000,0.8,0.0,25,1.5,0.15,2,1
0,0.6466625278959199,1000,0.95,0.0,25,1.5,0.15,2,1
0,0.6588600593516453,1000,0.65,0.1,25,1.5,0.15,2,1
