time,opt_s,opt_payoff,s_median,s_lerror,s_herror,Vbar,T,aleph,init_sens,n,init_soc_v,λ,strategies,mu_soc_v,t,seed
0,0.0,0.0,0.043792649856093616,0.043792649856093616,0.1871361614393155,0.5592823202987202,1000,0.05,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.04773079395690448,0.04773079395690448,0.18498978756455403,0.562110786504123,1000,0.05,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.048938663225491064,0.048938663225491064,0.18543580572843782,0.5623432429225815,1000,0.05,0.1,25,0.0,1.5,UB,0.0,25,1
3,0.0,0.0,0.04778469860252872,0.04778469860252872,0.1861793611588839,0.5595025608639628,1000,0.05,0.1,25,0.0,1.5,UB,0.0,25,1
4,0.0,0.0,0.0430279405674871,0.0430279405674871,0.18474936597640926,0.5666440807886991,1000,0.05,0.1,25,0.0,1.5,UB,0.0,25,1
5,0.0,0.0,0.04416957353913257,0.04416957353913257,0.1848774525218491,0.5679010212815009,1000,0.05,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.04720239742565463,0.04720239742565463,0.18497389308632659,0.5605146343169272,1000,0.05,0.1,25,0.0,1.5,UB,0.0,25,1
7,0.0,0.0,0.04476610330221507,0.04476610330221507,0.1856964156795952,0.56468445105909,1000,0.05,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.04287224321522481,0.04287224321522481,0.18468917369262905,0.5672859815013185,1000,0.05,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.051610650533472094,0.051610650533472094,0.17884376512658118,0.5546594910611193,1000,0.05,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.04520400080519985,0.04520400080519985,0.1868621883047516,0.5668007598520818,1000,0.05,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.05090032311415746,0.05090032311415746,0.18002848818125167,0.5694999617814379,1000,0.1,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.048177666521794484,0.048177666521794484,0.1854203675588249,0.5692909562583095,1000,0.1,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.05114063413026309,0.05114063413026309,0.18245936586973693,0.5697685484490174,1000,0.1,0.1,25,0.0,1.5,UB,0.0,25,1
3,0.0,0.0,0.05097032554800558,0.05097032554800558,0.18136299938371997,0.5640058711663323,1000,0.1,0.1,25,0.0,1.5,UB,0.0,25,1
4,0.0,0.0,0.04875457870085034,0.04875457870085034,0.1819757325099057,0.5708345694987108,1000,0.1,0.1,25,0.0,1.5,UB,0.0,25,1
5,0.0,0.0,0.04875766935317505,0.04875766935317505,0.17722471972231207,0.5775295095239878,1000,0.1,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.050268260670246014,0.050268260670246014,0.1798666793650658,0.5743399789236461,1000,0.1,0.1,25,0.0,1.5,UB,0.0,25,1
