time,Vbar,soc_h_median,soc_h_lerror,soc_h_herror,soc_v_median,soc_v_lerror,soc_v_herror,sens_median,sens_lerror,sens_herror,freq_ub,freq_pb,s_mean,s_median,s_lerror,s_herror,s_ltail,s_htail,s_end_mean,s_end_median,s_end_lerror,s_end_herror,s_young_mean,s_young_median,s_young_lerror,s_young_herror,s_child_mean,s_child_median,s_child_lerror,s_child_herror,sbar,mean_increment,concentration,concentration_lerror,concentration_herror,aleph,λ,strategies,u,seed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,UB&PB,0.55,45069
2500,0.8334270284949917,0.8682254782486989,0.748464349996383,0.9409632104247955,0.9450071074322038,0.8979264418059623,0.9774695848610493,0.8348382256689091,0.7300506106262105,0.9116787130927697,0.872023454157783,0.1279765458422176,0.013062273876568522,1.7115327551362747e-5,0.0,0.0002485497514139974,0.0,0.08540095707288578,0.013000351805033237,0.0,0.0,0.0,0.03455848811947054,0.005571701834446409,0.0,0.07802191820510025,0.08381033326872726,0.08309005047809603,0.07804624555794694,0.08816153309345447,0.01335725630450958,0.3923305314866751,25619.46155829979,5064.86535922671,119656.99266834868,0.05,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,UB&PB,0.55,45069
2500,0.8679099643410204,0.8057122363125987,0.6982118041239109,0.8866239064791058,0.9275886716230582,0.8719871911745322,0.9684928187937829,0.8613132182639421,0.7697489921386502,0.9329062685866202,0.9286183368869952,0.07138166311300642,0.01138170619324058,8.415632677641243e-5,1.278623274221774e-5,0.0003979483412984243,0.0,0.0773551006522553,0.011280489506060289,0.0,0.0,0.0,0.030321391738129172,0.023186530841616294,0.003465526672774547,0.04508949110409248,0.08450744679266813,0.08379326485771217,0.07856015367556786,0.08903259479562013,0.0018555496190820087,0.7797954783167312,29401.72690673628,8016.991788295663,94230.53149238897,0.1,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,UB&PB,0.55,45069
2500,0.8859802258577687,0.8812927446096298,0.7529120297513976,0.9493889826251714,0.9203966278032206,0.8571511111317143,0.9658297985198161,0.907236228943231,0.827147147762702,0.9577823246947577,0.9533574982231692,0.04664250177683011,0.010807690995720359,0.00021223772978774978,9.653041010506952e-5,0.0013172605652310002,7.388688451843296e-7,0.051259119183802854,0.01060844357433251,0.0,0.0,1.5983661299623625e-5,0.03556123311610834,0.0401831655891942,0.021016162056585335,0.04325836386814974,0.08435170972459595,0.08361340135362874,0.07852690580651554,0.08875644215454419,0.0034137537216051613,0.8300146056233796,50945.632625923776,16889.013762904455,149837.21165121172,0.15,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,UB&PB,0.55,45069
2500,0.8920063216491985,0.7858582734199466,0.6440396326753525,0.8925229171975887,0.87365831592535,0.7893874062605392,0.9419908878399466,0.8143171979291197,0.6802973707406907,0.9078916874422643,0.955554371002132,0.04444562899786782,0.010894791531253936,0.00032089951476866485,0.00013622652127892986,0.002580362735450188,1.176072483152279e-6,0.05104175981860308,0.010596565556640356,0.0,0.0,6.2262767920226e-5,0.03491911416586447,0.03956250608299997,0.019558973153147332,0.043382529679048286,0.08486734194460832,0.08415996540729212,0.07870406739777486,0.08962390352045964,0.01972224208108519,0.27655959659067036,29627.65433893797,11534.646896111502,74348.56639926949,0.2,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,UB&PB,0.55,45069
2500,0.9000357793664765,0.8541737258063019,0.7636291545329205,0.9243170854524123,0.8785496892929534,0.7953231358615667,0.9433583784649083,0.8401374460451849,0.7247652938204293,0.9268608186574364,0.9595145700071074,0.040485429992892716,0.01115929897281251,0.0004822112850674351,0.00020338867480903966,0.004675928042393827,4.193066668879421e-6,0.05117195177657422,0.010660796987034132,0.0,0.0,0.0005316064110954445,0.03455024916019834,0.038913629440023224,0.01996504080629552,0.04262702306672475,0.08410362048493049,0.08339295731299572,0.07844589363877218,0.08840087234167289,0.020310328010495603,0.2897650505898008,52891.59574829277,20627.376929138183,132314.07335112104,0.25,0.0,UB&PB,0.55,45069
